名称,路径,位置X,位置Y,位置Z,大小X,大小Y,大小Z,合并,文义描述,文义（英）
Chain_B,Decor/Props/Chain_B,-5.142556,1.883745,-5.165913,0.2545176,1.567145,0.1721668,1,左下房间墙上铁链子（右）,
Chain_C,Decor/Props/Chain_C,-6.534035,0.08100891,-7.010836,1.226414,0.1852163,1.173765,2,左下地板上铁链子,
Crate_B,Decor/Props/Crate_B,-4.55502,0.2290087,-7.299702,0.9418924,0.7404811,0.9186524,3,左下地板上箱子B,
Crate_A,Decor/Props/Crate_A,-4.235024,0.002508163,-7.587881,0.467137,0.2660645,0.6048133,4,左下地板上箱子c,
Crate_C,Decor/Props/Crate_C,-5.257031,0.002008438,-7.491028,0.9004829,0.4512128,0.9482676,5,左下地板上箱子A,
Chain_A,Decor/Props/Chain_A,5.100734,1.622053,-5.157714,1.747509,0.8561354,0.2064991,6,右下墙上铁链子,
Stool_A_Broken,Decor/Props/Stool_A_Broken,7.495378,-0.000991821,-7.064294,0.5040092,0.4341844,0.6746531,7,右下房间坏凳子,
Stool_A,Decor/Props/Stool_A,7.775657,-0.000991821,-6.24775,0.339496,0.4688991,0.339496,8,右下房间好凳子,
Cell_Seat,Decor/Props/Cell_Seat,5.530069,-0.001491547,-7.786514,2.086357,0.4724779,0.4953356,9,右下房间长椅,
Table_C,Decor/Props/Table_C,8.60146,-0.001991272,-6.66958,0.9166012,0.7278559,1.550128,10,右下房间桌子,
Dungeon_Key_Set,Decor/Props/Dungeon_Key_Set,5.984282,0.7330084,0.1787176,0.2322526,0.02634704,0.2123077,11,右上房间钥匙,
Table_B,Decor/Props/Table_B,6.257529,-0.006991386,0.2252874,1.572325,0.7278548,0.7595165,12,右上房间桌子,
Bucket,Decor/Props/Bucket,-8.888684,0.468008,0.1285915,0.2827044,0.2206482,0.2827053,13,左上水桶,
Candles,Decor/Props/Candles,-7.79329,0.03645802,-1.422166,8.016429,0.1511882,1.601359,14,左上房间地上蜡烛,
Torch,Decor/Props/Torch,-9.177876,2.112509,0.4366093,0.2388825,0.4996361,0.1622169,15,左上房间火炬 右,
Candle_B,Decor/Props/Candles/Candle_B,6.81157,0.7211332,0.3279753,0.05991691,0.1001959,0.06066374,16,右上桌子蜡烛,
Candle_C,Decor/Props/Candles/Candle_C,6.706804,0.7209291,0.3752813,0.05991691,0.08542132,0.06066374,17,右上桌子蜡烛,
