名称,路径,位置X,位置Y,位置Z,大小X,大小Y,大小Z,合并,文义,文义（英）
Stair,Walls/Stair,0.004999995,-0.4170001,2.575436,1.0987,0.8129235,0.56739,1,台阶1,
Stair2,Walls/Stair/Stair2,0.004999995,-0.5958433,3.080413,1.0987,0.4025413,0.56739,2,台阶2,
Door,Furniture/MainFurniture/Door,0.598,0.9990001,2.246,1.188,2.02005,0.08649993,3,门,
TVSet,Furniture/MainFurniture/TVSet,1.289,-0.05199999,-2.38,0.4420838,1.413877,2.040885,4,电视,
RFAIPP_Armchair_1,Furniture/MainFurniture/RFAIPP_Armchair_1,-3.6,0,-0.63,0.7860002,0.8262,0.6306002,5,椅子,
RFAIPP_Sculpture,Furniture/MainFurniture/RFAIPP_Sculpture,1.16,0.014,0.8299999,0.7206445,2.24,0.9244327,6,雕塑,
RFAIPP_Office_Table,Furniture/MainFurniture/RFAIPP_Office_Table,-4,0,-0.4,0.8078004,0.9137,1.8034,7,办公桌,
RFP_Chandelier_2,Furniture/MainFurniture/RFP_Chandelier_2,0.98,-0.009000003,1.69,0.5104,1.7436,0.5104,8,落地灯,
RFAIPP_Chandelier_1,Furniture/MainFurniture/RFAIPP_Chandelier_1,-1.39,2.997,-0.4,0.8262,0.8028,0.8261,9,吊灯,
RFAIPP_Bookcase_2,Furniture/MainFurniture/RFAIPP_Bookcase_2,1.2,0,-0.4300001,0.4576002,2.3903,1.18,10,书架,
RFAIPP_Bookcase_1,Furniture/MainFurniture/RFAIPP_Bookcase_1,-4.22,0,1.42,0.4212002,1.81572,1.57338,11,书架,
RFAIPP_Bed_1,Furniture/MainFurniture/RFAIPP_Bed_1,-3.32,0.001054525,-2.67,2.2408,0.9685,1.5194,12,床,
Key,Furniture/MainFurniture/Key,-3.75,0.749279,-0.5,0.07954056,0.02195744,0.04114901,13,桌子上的钥匙,
clock,Furniture/MainFurniture/clock,-4.494,2.504,-0.245,0.07133867,0.4092006,0.4092009,14,挂钟,
keypad,Furniture/MainFurniture/keypad,-1.297,1.269,2.2397,0.7413284,1.069007,0.01306562,15,墙上的计算器,
RFAIPP_Chandelier_1,Furniture/SubFurniture/RFAIPP_Chandelier_1,2.074208,1.002958,-2.267155,0.20655,0.2007,0.206525,16,小房间吊灯,
Box,Furniture/SubFurniture/Box,2.626,0.008000016,-2.924,0.1199999,0.12003,0.1500006,17,小房间角落盒子,
KeyPW,Furniture/SubFurniture/KeyPW,2.071,0.447,-3.02,0.3,0.3,0.3,18,墙上字,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
室外场景,,,,,,,,,,
nature,nature,20,16.1,-40.2,277.6338,67.44214,330.6808,,,
WindZone,nature/WindZone,192.1,1.961713,-46.5,1,1,1,,,
